,titles,dates,origin,section,ID,exclusion_reason
6321,"October 11, 2024 (Page A4)",2024-10-11," National Post (2011-); Toronto, Canada",NA,3118977972,Text unavailable — cannot classify
6322,"October 11, 2024 (Page A8)",2024-10-11," National Post (2011-); Toronto, Canada",NA,3118977950,Text unavailable — cannot classify
6323,"October 11, 2024 (Page A9)",2024-10-11," National Post (2011-); Toronto, Canada",NA,3118977948,Text unavailable — cannot classify
6324,"October 11, 2024 (Page FP2)",2024-10-11," National Post (2011-); Toronto, Canada",NA,3118977939,Text unavailable — cannot classify
6325,"October 11, 2024 (Page FP9)",2024-10-11," National Post (2011-); Toronto, Canada",NA,3118977918,Text unavailable — cannot classify
6326,"Provinces not equipped yet to compel addicts into treatment, federal addictions minister says",2024-10-11, National Post (Online); Toronto, Canadian Politics,3115769853,Federal addictions minister / treatment fund
6327,Why Canada needs an 'urgent' public inquiry into its COVID response,2024-10-11, National Post (Online); Toronto, Canada,3115758575,Federal COVID inquiry
6329,Jack Mintz: Will Canada's auto industry need another bailout?,2024-10-11, National Post (Online); Toronto, FP Comment,3115717494,National/global auto-industry economics
6330,"Jordan Peterson: Alas, no re-educator to be found",2024-10-11, National Post (Online); Toronto, NP Comment,3115717116,Ontario College of Psychologists (Peterson)
6331,Danielle Smith is betting that her unfiltered style will pay off in an upcoming leadership review,2024-10-11, National Post (Online); Toronto, Canada,3115716838,Alberta (Smith leadership review)
6332,"Blair's ex-aide denies delaying CSIS warrant; 'Slow walked'for political reasons, lawyer suggests",2024-10-11," National Post; Don Mills, Ont.", Canada,3115602030,Federal foreign-interference inquiry
6333,Corrected PBO report finds carbon tax leaves most people worse off; Economic Impact; Most will receive more in rebates than they pay,2024-10-11," National Post; Don Mills, Ont.", Canada,3115601827,Federal carbon-tax PBO report
6334,Smith's secret weapon; Alberta premier is betting unfiltered style will pay off at leadership review,2024-10-11," National Post; Don Mills, Ont.", Canada,3115601814,Alberta (Smith leadership review)
6335,"Minister 'not informed'of foreign interference; Relations with India 'tense,'Joly tells inquiry",2024-10-11," National Post; Don Mills, Ont.", Canada,3115601789,Federal foreign-interference inquiry
6337,"October 10, 2024 (Page FP7)",2024-10-10," National Post (2011-); Toronto, Canada",NA,3116488641,Text unavailable — cannot classify
6338,"October 10, 2024 (Page FP8)",2024-10-10," National Post (2011-); Toronto, Canada",NA,3116488635,Text unavailable — cannot classify
6339,"October 10, 2024 (Page A4)",2024-10-10," National Post (2011-); Toronto, Canada",NA,3116488401,Text unavailable — cannot classify
6340,"October 10, 2024 (Page A6)",2024-10-10," National Post (2011-); Toronto, Canada",NA,3116488397,Text unavailable — cannot classify
6341,"October 10, 2024 (Page A7)",2024-10-10," National Post (2011-); Toronto, Canada",NA,3116488391,Text unavailable — cannot classify
6342,"October 10, 2024 (Page A9)",2024-10-10," National Post (2011-); Toronto, Canada",NA,3116488389,Text unavailable — cannot classify
6343,"October 10, 2024 (Page A14)",2024-10-10," National Post (2011-); Toronto, Canada",NA,3116488377,Text unavailable — cannot classify
6344,Chris Selley: 'Soft corruption' from too many government workers keeps us from having nice things,2024-10-10, National Post (Online); Toronto, NP Comment,3115561841,Infrastructure-cost / public-sector op-ed
6346,Ex-minister Marco Mendicino says time to 'clear the air' about alleged traitorous MPs,2024-10-10, National Post (Online); Toronto, Canadian Politics,3115487726,Federal foreign-interference inquiry
6347,Corrected PBO report finds carbon tax leaves most Canadians worse off even as they get more back in rebates,2024-10-10, National Post (Online); Toronto, Canada,3115479044,Federal carbon-tax PBO report
6348,"Move over Ottawa: The U.K. is courting Canada's big pensions, too",2024-10-10, National Post (Online); Toronto, News,3115379740,"Federal/finance (pensions, UK)"
6350,Geoff Russ: How Hamas supporters could help pick the next Liberal leader,2024-10-10, National Post (Online); Toronto, NP Comment,3115313256,Federal Liberal leadership
6351,BC NDP leads Conservatives in Leger poll; Provincial election,2024-10-10," National Post; Don Mills, Ont.", Canada,3115227915,BC election polling
6352,Is Liberals' future with Hamas fans?; Just wait until next leadership race,2024-10-10," National Post; Don Mills, Ont.", Ideas,3115227808,Federal Liberal leadership
6353,"Families Sue Iran, Hamas, Samidoun; October 7; $350M suit over deaths of two Canadian-Israelis",2024-10-10," National Post; Don Mills, Ont.", Canada,3115227252,Federal/international (Oct. 7 lawsuit)
6355,Former senior Liberal aide denies delaying approval of CSIS warrant to protect party,2024-10-10, National Post (Online); Toronto, Canadian Politics,3115187683,Federal foreign-interference inquiry
6356,"October 9, 2024 (Page A6)",2024-10-09," National Post (2011-); Toronto, Canada",NA,3116488456,Text unavailable — cannot classify
6357,"October 9, 2024 (Page A5)",2024-10-09," National Post (2011-); Toronto, Canada",NA,3116488454,Text unavailable — cannot classify
6358,"October 9, 2024 (Page A9)",2024-10-09," National Post (2011-); Toronto, Canada",NA,3116488445,Text unavailable — cannot classify
6359,"October 9, 2024 (Page FP9)",2024-10-09," National Post (2011-); Toronto, Canada",NA,3116488415,Text unavailable — cannot classify
6360,"October 9, 2024 (Page FP8)",2024-10-09," National Post (2011-); Toronto, Canada",NA,3116488413,Text unavailable — cannot classify
6361,"Families of Canadian October 7 victims sue Iran, Hamas and Samidoun for $350 million",2024-10-09, National Post (Online); Toronto, Canada,3115164834,Federal/international (Oct. 7 lawsuit)
6362,Best Amazon Prime Day deals in Canada - October 2024,2024-10-09, National Post (Online); Toronto, Amazon Prime Day,3115016256,Advertising (Amazon Prime Day)
6363,"Three years after wildfire wiped out Lytton, residents can't rebuild due to costly archeological digs",2024-10-09, National Post (Online); Toronto, Canada,3114754931,BC (Lytton wildfire rebuild)
6365,"October 8, 2024 (Page A4)",2024-10-08," National Post (2011-); Toronto, Canada",NA,3116488537,Text unavailable — cannot classify
6366,"October 8, 2024 (Page FP9)",2024-10-08," National Post (2011-); Toronto, Canada",NA,3116488524,Text unavailable — cannot classify
6367,"October 8, 2024 (Page FP11)",2024-10-08," National Post (2011-); Toronto, Canada",NA,3116488520,Text unavailable — cannot classify
6368,Michael Taube: Kathleen Wynne's fury over Furey,2024-10-08, National Post (Online); Toronto, NP Comment,3114535574,Toronto municipal byelection
6369,Colby Cosh: Justin Trudeau isn't actually sorry for fumbling electoral reform,2024-10-08, National Post (Online); Toronto, NP Comment,3114395651,"Federal (electoral reform, Trudeau)"
6371,Best Amazon Prime Day deals in Canada - October 2024,2024-10-08, National Post (Online); Toronto, Amazon Prime Day,3114300589,Advertising (Amazon Prime Day)
6372,Hudbay settles negligence lawsuits with Indigneous Mayans; Mining; Guatemala,2024-10-08," National Post; Don Mills, Ont.", Financial Post,3114266089,Mining lawsuit (Guatemala)
6373,Young Canadians more politically conservative than their parents,2024-10-08," National Post; Don Mills, Ont.", Canada,3114264591,Federal politics (young voters)
6374,Trudeau does the separatists' bidding; PM desperately attempting to stay in office,2024-10-08," National Post; Don Mills, Ont.", Financial Post,3114264581,"Federal politics (Trudeau, Bloc)"
6375,Geoff Russ: David Eby going to court over Conservative name just another desperate NDP tactic,2024-10-07, National Post (Online); Toronto, NP Comment,3114173916,"BC election (Eby, Conservative name)"
6376,OSC appoints former Ontario auditor general Bonnie Lysyk as head of enforcement,2024-10-07, National Post (Online); Toronto, News,3114143947,Regulatory appointment (OSC)
6377,Diane Francis: Trudeau will dutifully do the separatists' bidding,2024-10-07, National Post (Online); Toronto, Diane Francis,3114133148,"Federal politics (Trudeau, Bloc)"
6378,Hudbay settles lawsuits with Indigneous Mayans after decade-plus of litigation,2024-10-07, National Post (Online); Toronto, Mining,3114128289,Mining lawsuit (Guatemala)
6379,FIRST READING: Young Canadians now more politically conservative than their elders,2024-10-07, National Post (Online); Toronto, NP Comment,3114099252,Federal politics (young voters)
6380,"October 5, 2024 (Page A13)",2024-10-05," National Post (2011-); Toronto, Canada",NA,3116488470,Text unavailable — cannot classify
6381,"October 5, 2024 (Page A18)",2024-10-05," National Post (2011-); Toronto, Canada",NA,3116488464,Text unavailable — cannot classify
6382,"October 5, 2024 (Page A19)",2024-10-05," National Post (2011-); Toronto, Canada",NA,3116488448,Text unavailable — cannot classify
6383,"October 5, 2024 (Page FP12)",2024-10-05," National Post (2011-); Toronto, Canada",NA,3116488327,Text unavailable — cannot classify
6384,"October 5, 2024 (Page FP10)",2024-10-05," National Post (2011-); Toronto, Canada",NA,3116488324,Text unavailable — cannot classify
6385,NP View: Canada overrun by terrorist sympathizers since October 7,2024-10-05, National Post (Online); Toronto, NP Comment,3113265539,"Federal/international (Oct. 7, antisemitism)"
6386,François in Paris: How the Quebec premier kicked off an asylum firestorm from a summit in France,2024-10-05, National Post (Online); Toronto, Canada,3113265409,"Quebec/federal (Legault, asylum)"
6387,Canadians hunger for tax cut,2024-10-05," National Post; Don Mills, Ont.", Canada,3113259522,Federal carbon-tax politics
6388,How Quebec premier sparked asylum firestorm; Legault blasted for comments on relocation,2024-10-05," National Post; Don Mills, Ont.", Canada,3113259415,"Quebec/federal (Legault, asylum)"
6389,Pro-terrorist left takes hold,2024-10-05," National Post; Don Mills, Ont.", Editorials,3113259322,"Federal/international (Oct. 7, antisemitism)"
6390,"October 4, 2024 (Page A1)",2024-10-04," National Post (2011-); Toronto, Canada",NA,3116488222,Text unavailable — cannot classify
6391,"October 4, 2024 (Page A2)",2024-10-04," National Post (2011-); Toronto, Canada",NA,3116488221,Text unavailable — cannot classify
6392,"October 4, 2024 (Page A3)",2024-10-04," National Post (2011-); Toronto, Canada",NA,3116488220,Text unavailable — cannot classify
6393,"October 4, 2024 (Page A5)",2024-10-04," National Post (2011-); Toronto, Canada",NA,3116488218,Text unavailable — cannot classify
6394,"October 4, 2024 (Page A6)",2024-10-04," National Post (2011-); Toronto, Canada",NA,3116488217,Text unavailable — cannot classify
6395,"October 4, 2024 (Page FP12)",2024-10-04," National Post (2011-); Toronto, Canada",NA,3116488091,Text unavailable — cannot classify
6396,"October 4, 2024 (Page FP8)",2024-10-04," National Post (2011-); Toronto, Canada",NA,3116488083,Text unavailable — cannot classify
6397,"October 4, 2024 (Page FP9)",2024-10-04," National Post (2011-); Toronto, Canada",NA,3116488082,Text unavailable — cannot classify
6398,"October 4, 2024 (Page A9)",2024-10-04," National Post (2011-); Toronto, Canada",NA,3116488008,Text unavailable — cannot classify
6399,Letters: 'What planet is Mélanie Joly living on?',2024-10-04, National Post (Online); Toronto, NP Comment,3113042868,"Letters (federal, Joly)"
6400,A nation that rewards terrorism; October 7 likely to be marred by clown politics,2024-10-04," National Post; Don Mills, Ont.", Ideas,3112963431,Federal/international (Oct. 7)
6402,"October 3, 2024 (Page A5)",2024-10-03," National Post (2011-); Toronto, Canada",NA,3114024892,Text unavailable — cannot classify
6403,"October 3, 2024 (Page A4)",2024-10-03," National Post (2011-); Toronto, Canada",NA,3114024891,Text unavailable — cannot classify
6404,"October 3, 2024 (Page A6)",2024-10-03," National Post (2011-); Toronto, Canada",NA,3114024890,Text unavailable — cannot classify
6405,"October 3, 2024 (Page FP9)",2024-10-03," National Post (2011-); Toronto, Canada",NA,3114024883,Text unavailable — cannot classify
6407,The best online deals in the Canadian retail space right now,2024-10-03, National Post (Online); Toronto, Shopping Essentials,3112838796,Advertising (retail deals)
6408,FIRST READING: Could the Liberals unintentionally vote down their own government?,2024-10-03, National Post (Online); Toronto, NP Comment,3112771535,Federal politics (confidence votes)
6409,Michael Higgins: Liberals have turned Canada into a country that rewards terrorism,2024-10-03, National Post (Online); Toronto, NP Comment,3112757879,Federal/international (Oct. 7)
6410,Blair's ex-chief of staff to testify at foreign interference inquiry over warrant to monitor influential Liberal,2024-10-03, National Post (Online); Toronto, Canadian Politics,3112757604,Federal foreign-interference inquiry
6411,Could Conservatives accidentally bring down Trudeau government?; Parliament's current numbers make it unlikely,2024-10-03," National Post; Don Mills, Ont.", Canada,3112645685,Federal politics (confidence votes)
6412,Poiliev re champions adoption as solution; A 'greater good'than abortion legislation,2024-10-03," National Post; Don Mills, Ont.", Canada,3112645636,"Federal (Poilievre, abortion/adoption)"
6413,Blair's ex-chief of staff to testify at hearings; Public Inquiry into Foreign Interference,2024-10-03," National Post; Don Mills, Ont.", Canada,3112645436,Federal foreign-interference inquiry
6414,"October 2, 2024 (Page FP9)",2024-10-02," National Post (2011-); Toronto, Canada",NA,3114024360,Text unavailable — cannot classify
6415,Blair's ex-chief of staff to testify at foreign interference inquiry over warrant to monitor influential Liberal,2024-10-02, National Post (Online); Toronto, Canadian Politics,3112565121,Federal foreign-interference inquiry
6416,Matthew Lau: When social justice trumps the three Rs,2024-10-02, National Post (Online); Toronto, FP Comment,3112400029,Culture-war op-ed (school curriculum)
6417,Send in the settler clowns,2024-10-02," National Post; Don Mills, Ont.", Issues,3112269757,Federal/culture ('settler' politics)
6418,When social justice trumps the Three Rs,2024-10-02," National Post; Don Mills, Ont.", FP Comment,3112269579,Culture-war op-ed (school curriculum)
6419,Poilievre says he plans to promote adoption as 'greater good' over legislating abortion,2024-10-02, National Post (Online); Toronto, Canada,3112269439,"Federal (Poilievre, abortion/adoption)"
6420,"October 2, 2024 (Page A7)",2024-10-02," National Post (2011-); Toronto, Canada",NA,3114024482,Text unavailable — cannot classify
6421,"October 2, 2024 (Page A10)",2024-10-02," National Post (2011-); Toronto, Canada",NA,3114024368,Text unavailable — cannot classify
6422,"October 2, 2024 (Page FP8)",2024-10-02," National Post (2011-); Toronto, Canada",NA,3114024361,Text unavailable — cannot classify
6423,"October 1, 2024 (Page A4)",2024-10-01," National Post (2011-); Toronto, Canada",NA,3114024820,Text unavailable — cannot classify
6424,"October 1, 2024 (Page A6)",2024-10-01," National Post (2011-); Toronto, Canada",NA,3114024803,Text unavailable — cannot classify
6425,"October 1, 2024 (Page A8)",2024-10-01," National Post (2011-); Toronto, Canada",NA,3114024785,Text unavailable — cannot classify
6426,"October 1, 2024 (Page FP9)",2024-10-01," National Post (2011-); Toronto, Canada",NA,3114024679,Text unavailable — cannot classify
6427,"October 1, 2024 (Page FP7)",2024-10-01," National Post (2011-); Toronto, Canada",NA,3114024674,Text unavailable — cannot classify
6428,Kelly McParland: Blame politicians for Canada's chronic inability to build transit infrastructure,2024-10-01, National Post (Online); Toronto, NP Comment,3112065809,Transit-infrastructure-cost op-ed
6429,Geoff Russ: Only clowns label Canadians 'settlers',2024-10-01, Nationa l Post (Online); Toronto, NP Comment,3111870554,Federal/culture ('settler' politics)
6430,The slippery slope of residential school 'denialism',2024-10-01," National Post; Don Mills, Ont.", Issues,3111718613,Federal (residential-school denialism)
6431,Business forum highlights key global risks,2024-10-01," National Post; Don Mills, Ont.", Financial Post,3111718590,Federal/geopolitics (business forum)
6433,"September 30, 2024 (Page A2)",2024-09-30," National Post (2011-); Toronto, Canada",NA,3114024456,Text unavailable — cannot classify
6434,"September 30, 2024 (Page A3)",2024-09-30," National Post (2011-); Toronto, Canada",NA,3114024450,Text unavailable — cannot classify
6435,Diane Francis: Business forum highlights key global risks and what they mean for Canada,2024-09-30, National Post (Onlin e); Toronto, Diane Francis,3111573794,Federal/geopolitics (business forum)
6437,'Our own money': This Indigenous businessman doesn't want government help,2024-09-29, National Post (Online); Toronto, Canada,3111091060,Indigenous business profile
6438,Jamie Sarkonak: The slippery slope reality of criminalizing residential school 'denialism',2024-09-29, National Post (Online); Toronto, NP Comment,3111069711,Federal (residential-school denialism)
6439,"September 28, 2024 (Page A2)",2024-09-28," National Post (2011-); Toronto, Canada",NA,3114025162,Text unavailable — cannot classify
6440,"September 28, 2024 (Page A5)",2024-09-28," National Post (2011-); Toronto, Canada",NA,3114025060,Text unavailable — cannot classify
6441,"September 28, 2024 (Page A14)",2024-09-28," National Post (2011-); Toronto, Canada",NA,3114025044,Text unavailable — cannot classify
6442,"September 28, 2024 (Page A17)",2024-09-28," National Post (2011-); Toronto, Canada",NA,3114025043,Text unavailable — cannot classify
6443,"September 28, 2024 (Page A19)",2024-09-28," National Post (2011-); Toronto, Canada",NA,3114025041,Text unavailable — cannot classify
6444,"September 28, 2024 (Page A11)",2024-09-28," National Post (2011-); Toronto, Canada",NA,3114025034,Text unavailable — cannot classify
6445,"September 28, 2024 (Page FP7)",2024-09-28," National Post (2011-); Toronto, Canada",NA,3114025018,Text unavailable — cannot classify
6446,"September 28, 2024 (Page FP11)",2024-09-28," National Post (2011-); Toronto, Canada",NA,3114025014,Text unavailable — cannot classify
6447,'Diplomacy requires a handcrafted copper tub': Inside the thoughts of Canada's $9M N.Y. consulate,2024-09-28, National Post (Online); Toronto, NP Comment,3110876812,Federal (NY consulate spending)
6448,Marxism in the classroom; Ontario schools have been infected with activist nonsense,2024-09-28," National Post; Don Mills, Ont.", Ideas,3110818198,Culture-war op-ed (school curriculum)
6449,'Diplomacy is impossible without a handmade copper bathtub'; Dear Diary,2024-09-28," National Post; Don Mills, Ont.", News,3110818059,Federal satire (NY consulate)
6450,Actions of miscreants in education call for suitable consequences,2024-09-28," National Post; Don Mills, Ont.", Financial Post,NA,TDSB governance / employment-law op-ed
6451,"Liberals, NDP have no time for tragedy; Father's testimony on safer supply gets short shrift",2024-09-28," National Post; Don Mills, Ont.", Editorials,3110817617,"Federal (safer supply, opioids)"
6452,"September 27, 2024 (Page A10)",2024-09-27," National Post (2011-); Toronto, Canada",NA,3114024344,Text unavailable — cannot classify
6453,"September 27, 2024 (Page A7)",2024-09-27," National Post (2011-); Toronto, Canada",NA,3114024309,Text unavailable — cannot classify
6454,"September 27, 2024 (Page A2)",2024-09-27," National Post (2011-); Toronto, Canada",NA,3114024302,Text unavailable — cannot classify
6455,"September 27, 2024 (Page A3)",2024-09-27," National Post (2011-); Toronto, Canada",NA,3114024301,Text unavailable — cannot classify
6456,"September 27, 2024 (Page FP9)",2024-09-27," National Post (2011-); Toronto, Canada",NA,3114024284,Text unavailable — cannot classify
6457,Howard Levitt: Time to hold miscreants in education responsible for their actions,2024-09-27, National Post (Online); Toronto, Work,3110732973,TDSB governance / employment-law op-ed
6458,The best online deals in the Canadian retail space right now,2024-09-27, National Post (Online); Toronto, Shopping Essentials,3110719656,Advertising (retail deals)
6459,Jamie Sarkonak: Ontario's education curriculum is infected with Marxist nonsense,2024-09-27, National Post (Online); Toronto, NP Comment,3110711395,Culture-war op-ed (school curriculum)
6460,FIRST READING: Governor General ends Quebec trip when reporters notice she can't speak French,2024-09-27, National Post (Online); Toronto, NP Comment,3110667987,"Federal (Governor General, French)"
6462,Why wasps in Canada seem so angry at this time of year; Buzz kills,2024-09-27," National Post; Don Mills, Ont.", News,3110546883,Nature (wasps)
6464,CTV shows shameful bias; Half-hearted apologies aren't likely to make this go away,2024-09-27," National Post; Don Mills, Ont.", Issues,3110546583,Federal/media bias (Poilievre)
6465,"September 26, 2024 (Page A2)",2024-09-26," National Post (2011-); Toronto, Canada",NA,3111373359,Text unavailable — cannot classify
6466,"September 26, 2024 (Page A1)",2024-09-26," National Post (2011-); Toronto, Canada",NA,3111373357,Text unavailable — cannot classify
6467,"September 26, 2024 (Page A4)",2024-09-26," National Post (2011-); Toronto, Canada",NA,3111373355,Text unavailable — cannot classify
6468,"September 26, 2024 (Page A9)",2024-09-26," National Post (2011-); Toronto, Canada",NA,3111373347,Text unavailable — cannot classify
6469,"September 26, 2024 (Page A10)",2024-09-26," National Post (2011-); Toronto, Canada",NA,3111373341,Text unavailable — cannot classify
6470,"September 26, 2024 (Page FP11)",2024-09-26," National Post (2011-); Toronto, Canada",NA,3111373309,Text unavailable — cannot classify
6471,Adam Zivo: Liberals and NDP have no time for your daughter's tragic opioid story,2024-09-26, National Post (Online); Toronto, NP Comment,3110431324,"Federal (safer supply, opioids)"
6472,FIRST READING: Teachers' union who organized 'field trip' to anti-Israel protest says it did nothing wrong,2024-09-26, National Post (Online); Toronto, NP Comment,3110259857,TDSB field-trip controversy (union response)
6474,"September 25, 2024 (Page FP9)",2024-09-25," National Post (2011-); Toronto, Canada",NA,3111373751,Text unavailable — cannot classify
6475,"September 25, 2024 (Page A1)",2024-09-25," National Post (2011-); Toronto, Canada",NA,3111373499,Text unavailable — cannot classify
6476,"September 25, 2024 (Page A9)",2024-09-25," National Post (2011-); Toronto, Canada",NA,3111373480,Text unavailable — cannot classify
6477,"September 25, 2024 (Page A7)",2024-09-25," National Post (2011-); Toronto, Canada",NA,3111373476,Text unavailable — cannot classify
6478,"September 25, 2024 (Page A4)",2024-09-25," National Post (2011-); Toronto, Canada",NA,3111373475,Text unavailable — cannot classify
6479,Terry Newman: CTV delivers another shameful example of anti-Poilievre bias,2024-09-25, National Post (Online); Toronto, NP Comment,3110026701,Federal/media bias (Poilievre)
6480,Trudeau finally says something most Canadians can agree on,2024-09-25, National Post (Online); Toronto, Canada,3109950082,"Federal/humour (Trudeau, Star Wars)"
6482,"Jesse Kline: The pressing need to invest in, and protect, our Arctic territories",2024-09-25, National Post (Online); Toronto, NP Comment,3109650179,Federal defence (Arctic)
6483,Guilbeault aims to cast light on carbon policy; Rebate messaging,2024-09-25," National Post; Don Mills, Ont.", Canada,3109525494,Federal carbon-policy messaging
6484,The urgency is rising in the Arctic cold war,2024-09-25," National Post; Don Mills, Ont.", Issues,3109525357,Federal defence (Arctic)
6485,"September 24, 2024 (Page A4)",2024-09-24," National Post (2011-); Toronto, Canada",NA,3111373492,Text unavailable — cannot classify
6486,"September 24, 2024 (Page A6)",2024-09-24," National Post (2011-); Toronto, Canada",NA,3111373490,Text unavailable — cannot classify
6487,"September 24, 2024 (Page A8)",2024-09-24," National Post (2011-); Toronto, Canada",NA,3111373488,Text unavailable — cannot classify
6488,"September 24, 2024 (Page FP2)",2024-09-24," National Post (2011-); Toronto, Canada",NA,3111373470,Text unavailable — cannot classify
6489,"September 24, 2024 (Page FP9)",2024-09-24," National Post (2011-); Toronto, Canada",NA,3111373465,Text unavailable — cannot classify
6490,"September 24, 2024 (Page FP8)",2024-09-24," National Post (2011-); Toronto, Canada",NA,3111373464,Text unavailable — cannot classify
6491,'It's a complex issue': Why Steven Guilbeault thinks the Liberals' climate plan isn't resonating,2024-09-24, National Post (Online); Toronto, Canada,3109453249,Federal carbon-policy messaging
6492,Geoff Russ: Yves-François Blanchet would turn Quebec over to the woke left,2024-09-24, National Post (Online); Toronto, NP Comment,3109391173,Federal/Quebec (Bloc)
6493,FIRST READING: Three former premiers attempting to recruit Canadians as canvassers for Kamala Harris,2024-09-24, National Post (Online); Toronto, NP Comment,3109054185,Federal/US (premiers canvassing for Harris)
6494,Gwyn Morgan: Robbing farmers to pay for battery-worker jobs,2024-09-24, National Post (Online); Toronto, FP Comment,3109021834,"Federal trade (Chinese EV tariff, canola)"
6495,Israeli airstrikes pound Hezbollah targets; Teachers should be fired over field trip,2024-09-24," National Post; Don Mills, Ont.", Issues,3108860976,International + TDSB field-trip op-ed
6496,Liberal-NDP coalition lives on,2024-09-24," National Post; Don Mills, Ont.", Issues,3108860930,"Federal politics (NDP, Liberals)"
6497,Robbing farmers to buy battery jobs,2024-09-24," National Post; Don Mills, Ont.", FP Comment,3108860255,"Federal trade (Chinese EV tariff, canola)"
6498,Jewish group organizing TDSB protest over field trip to anti-Israel rally,2024-09-23, National Post (Online); Toronto, Canada,3108801995,TDSB field-trip protest
6499,Jesse Kline: Toronto teachers should be fired for taking students to political rally,2024-09-23, National Post (Online); Toronto, NP Comment,3108784435,TDSB field-trip op-ed
6500,Chris Selley: The censors are in charge now,2024-09-22, National Post (Online); Toronto, NP Comment,3108028030,Federal/TIFF (film cancellation)
6501,"September 21, 2024 (Page A2)",2024-09-21," National Post (2011-); Toronto, Canada",NA,3111375346,Text unavailable — cannot classify
6502,"September 21, 2024 (Page A10)",2024-09-21," National Post (2011-); Toronto, Canada",NA,3111375319,Text unavailable — cannot classify
6503,"September 21, 2024 (Page A12)",2024-09-21," National Post (2011-); Toronto, Canada",NA,3111375313,Text unavailable — cannot classify
6504,"September 21, 2024 (Page HP5)",2024-09-21," National Post (2011-); Toronto, Canada",NA,3111375263,Text unavailable — cannot classify
6505,"September 21, 2024 (Page FP17)",2024-09-21," National Post (2011-); Toronto, Canada",NA,3111375261,Text unavailable — cannot classify
6506,"September 21, 2024 (Page FP13)",2024-09-21," National Post (2011-); Toronto, Canada",NA,3111375214,Text unavailable — cannot classify
6507,"September 21, 2024 (Page FP11)",2024-09-21," National Post (2011-); Toronto, Canada",NA,3111375212,Text unavailable — cannot classify
6508,"September 21, 2024 (Page FP16)",2024-09-21," National Post (2011-); Toronto, Canada",NA,3111375209,Text unavailable — cannot classify
6509,'Restore the Nordiques. Demolish McGill': Blanchet's imagined demands for the Trudeau government,2024-09-21, National Post (Online); Toronto, NP Comment,3107651880,Federal satire (Bloc)
6510,NP View: New Brunswick's Blaine Higgs is conservatism's brightest light,2024-09-21, National Post (Online); Toronto, NP Comment,3107646990,New Brunswick election
6512,'It's time to restore the Nordiques and demolish McGill'; Dear Diary; A satirical look at the thoughts of the BQ's leader,2024-09-21," National Post; Don Mills, Ont.", News,3107526741,Federal satire (Bloc)
6513,The right's brightest light: Higgs,2024-09-21," National Post; Don Mil ls, Ont.", Editorials,3107526733,New Brunswick election
6514,"September 20, 2024 (Page A4)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373233,Text unavailable — cannot classify
6515,"September 20, 2024 (Page A3)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373231,Text unavailable — cannot classify
6516,"September 20, 2024 (Page A5)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373227,Text unavailable — cannot classify
6517,"September 20, 2024 (Page A8)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373221,Text unavailable — cannot classify
6518,"September 20, 2024 (Page A10)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373217,Text unavailable — cannot classify
6519,"September 20, 2024 (Page FP2)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373205,Text unavailable — cannot classify
6520,"September 20, 2024 (Page FP6)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373201,Text unavailable — cannot classify
6521,"September 20, 2024 (Page FP8)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373197,Text unavailable — cannot classify
6522,"September 20, 2024 (Page FP7)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373195,Text unavailable — cannot classify
6523,"September 20, 2024 (Page FP9)",2024-09-20," National Post (2011-); Toronto, Canada",NA,3111373191,Text unavailable — cannot classify
6525,Carson Jerema: The Trudeau-Singh coalition lives,2024-09-20, National Post (Online); Toronto, NP Comment,3107473537,"Federal politics (NDP, Liberals)"
6526,"Ivison: Poilievre won't axe all of the carbon tax, ex-Harper adviser says",2024-09-20, National Post (Online); Toronto, NP Comment,3107397163,Federal carbon-tax politics
6527,"Philip Cross: R.I.P., Canadian carbon tax",2024-09-20, National Post (Online); Toronto, FP Comment,3107397074,Federal carbon-tax politics
6528,"Givenhis history, Kinew should respect the right to counsel",2024-09-20," National Post; Don Mills, Ont.", Canada,3107312778,Manitoba politics (Kinew)
6529,"Premiers, Miller in asylum dispute; 'Weaponizing'issue for political gain, minister says",2024-09-20," National Post; Don Mills, Ont.", Canada,3107312772,Federal/premiers (asylum dispute)
6530,R.I.P.Canadian carbon tax,2024-09-20," National Post; Don Mills, Ont.", FP Comment,3107312752,Federal carbon-tax politics
6532,N.B. premier calls fall election; Oct. 21 vote,2024-09-20," National Post; Don Mills, Ont.", Canada,3107312624,New Brunswick election
6533,NDP can't quite dump carbon tax,2024-09-20," National Post; Don Mills, Ont.", Issues,3107312616,Federal carbon-tax politics
6534,"September 19, 2024 (Page FP1)",2024-09-19," National Post (2011-); Toronto, Canada",NA,3108468810,Text unavailable — cannot classify
6535,"September 19, 2024 (Page FP9)",2024-09-19," National Post (2011-); Toronto, Canada",NA,3108468788,Text unavailable — cannot classify
